Age,Gender,Watched emotional movie in last 12 months,Movie/Book that affected you most recently,How many times watched,When watched most recently,The storytelling in this movie was emotionally powerful.,The story made me feel strong emotions.,The emotional moments felt genuine and realistic.,The characters' emotional experiences were clearly expressed.,The story focused strongly on characters' feelings and relationships.,I feel attached to the characters in this movie.,I still think about this movie or its characters after watching it.,I would like to watch this movie again in the future.,I would recommend this movie to others.,This movie has a special place in my memory compared to other movies.,Emotional Storytelling Score,Audience Attachment Score
18–20,Female,Yes,Silver Linings Playbook,2–3 times,More than 6 months ago,2,2,2,2,2,2,4,4,2,3,2.0,3.0
24 or above,Female,Yes,The Reader,More than 3 times,More than 6 months ago,5,5,4,5,3,4,4,3,3,3,4.4,3.4
18–20,Male,Yes,To All the Boys I've Loved Before,2–3 times,1–6 months ago,5,5,4,5,5,5,4,3,3,4,4.8,3.8
24 or above,Female,Yes,The Piano,1 time,Within last 1 month,5,5,5,4,5,5,4,4,5,5,4.8,4.6
18–20,Male,Yes,The Hunger Games,1 time,Within last 1 month,4,2,4,4,3,3,4,2,4,4,3.4,3.4
21–23,Female,Yes,The Farewell,1 time,Within last 1 month,3,5,4,3,4,4,4,4,4,4,3.8,4.0
21–23,Male,Yes,Atonement,1 time,More than 6 months ago,3,3,3,4,3,2,3,3,3,3,3.2,2.8
Under 18,Male,Yes,Beauty and the Beast,More than 3 times,1–6 months ago,3,4,2,2,4,5,3,2,2,3,3.0,3.0
18–20,Male,Yes,Whiplash,2–3 times,Within last 1 month,1,3,4,4,4,2,2,4,4,3,3.2,3.0
21–23,Male,Yes,The Pursuit of Happyness,1 time,1–6 months ago,3,2,3,4,3,3,3,2,2,4,3.0,2.8
24 or above,Male,Yes,One Flew Over the Cuckoo's Nest,More than 3 times,Within last 1 month,3,4,4,5,4,4,4,5,4,4,4.0,4.2
21–23,Female,Yes,Prisoners,1 time,1–6 months ago,3,3,3,2,3,4,3,2,2,3,2.8,2.8
21–23,Male,Yes,The Theory of Everything,2–3 times,More than 6 months ago,3,2,3,4,4,4,4,4,2,4,3.2,3.6
24 or above,Female,Yes,A Little Life,2–3 times,1–6 months ago,5,3,4,5,3,1,4,4,2,3,4.0,2.8
Under 18,Male,Yes,Moana,2–3 times,1–6 months ago,3,3,5,3,5,2,2,4,3,1,3.8,2.4
21–23,Male,Yes,Life is Beautiful,2–3 times,Within last 1 month,2,2,3,1,1,2,1,1,1,1,1.8,1.2
Under 18,Male,Yes,Mirai,More than 3 times,Within last 1 month,5,4,4,4,4,4,4,3,3,3,4.2,3.4
Under 18,Female,Yes,Luca,More than 3 times,1–6 months ago,3,3,3,3,4,1,3,4,3,4,3.2,3.0
Under 18,Female,Yes,Treasure Planet,2–3 times,1–6 months ago,5,4,4,5,5,5,5,5,4,5,4.6,4.8
24 or above,Prefer not to say,Yes,The English Patient,More than 3 times,1–6 months ago,4,4,5,5,5,4,3,3,4,4,4.6,3.6
24 or above,Female,Yes,The Pursuit of Happyness,1 time,Within last 1 month,4,4,3,4,2,3,3,3,4,4,3.4,3.4
24 or above,Female,Yes,Brief Encounter,More than 3 times,1–6 months ago,5,3,5,4,3,4,4,3,3,2,4.0,3.2
21–23,Female,Yes,Prisoners,2–3 times,Within last 1 month,4,3,4,3,3,3,3,3,3,4,3.4,3.2
21–23,Female,Yes,Moonlight,More than 3 times,1–6 months ago,3,3,4,4,3,2,4,2,3,4,3.4,3.0
21–23,Prefer not to say,Yes,Eternal Sunshine of the Spotless Mind,More than 3 times,1–6 months ago,4,3,4,5,4,4,3,4,4,4,4.0,3.8
24 or above,Female,Yes,The English Patient,2–3 times,1–6 months ago,2,2,5,3,3,3,2,3,4,3,3.0,3.0
24 or above,Male,Yes,The King's Speech,1 time,More than 6 months ago,2,1,3,2,1,2,3,2,2,2,1.8,2.2
Under 18,Male,Yes,Brother Bear,2–3 times,1–6 months ago,5,4,4,4,3,2,3,4,3,4,4.0,3.2
21–23,Male,Yes,The Shawshank Redemption,More than 3 times,1–6 months ago,3,3,5,3,4,3,5,4,5,2,3.6,3.8
21–23,Female,Yes,The Father,2–3 times,1–6 months ago,2,4,2,2,2,3,4,3,3,2,2.4,3.0
18–20,Female,Yes,La La Land,More than 3 times,Within last 1 month,4,4,3,3,3,2,3,3,3,5,3.4,3.2
24 or above,Female,Yes,All Quiet on the Western Front,1 time,1–6 months ago,5,3,5,3,3,5,4,4,4,4,3.8,4.2
21–23,Female,Yes,The Boy in the Striped Pyjamas,2–3 times,1–6 months ago,3,5,4,2,4,2,3,3,2,3,3.6,2.6
18–20,Male,Yes,Love Simon,More than 3 times,Within last 1 month,3,2,3,5,4,4,3,3,3,3,3.4,3.2
18–20,Male,Yes,Call Me by Your Name,2–3 times,Within last 1 month,3,4,5,5,5,4,4,4,4,5,4.4,4.2
Under 18,Male,Yes,Kung Fu Panda,More than 3 times,1–6 months ago,4,5,4,3,5,4,4,3,4,3,4.2,3.6
18–20,Male,Yes,Forrest Gump,More than 3 times,Within last 1 month,4,5,5,5,5,4,5,5,5,5,4.8,4.8
21–23,Female,Yes,Eternal Sunshine of the Spotless Mind,1 time,More than 6 months ago,3,3,5,4,4,5,4,3,3,3,3.8,3.6
24 or above,Male,Yes,American Beauty,1 time,Within last 1 month,5,4,4,4,3,5,4,5,4,4,4.0,4.4
24 or above,Male,Yes,When Harry Met Sally,1 time,1–6 months ago,3,1,1,2,2,1,2,2,1,3,1.8,1.8
Under 18,Female,Yes,Inside Out,More than 3 times,Within last 1 month,3,3,3,2,4,3,3,3,2,3,3.0,2.8
21–23,Prefer not to say,Yes,The Lives of Others,2–3 times,Within last 1 month,5,5,5,4,3,3,4,4,3,5,4.4,3.8
21–23,Female,Yes,Whiplash,2–3 times,Within last 1 month,4,5,3,4,4,5,4,3,3,4,4.0,3.8
21–23,Prefer not to say,Yes,Pan's Labyrinth,More than 3 times,More than 6 months ago,3,4,3,4,4,3,3,3,4,3,3.6,3.2
18–20,Female,Yes,Wonder,2–3 times,1–6 months ago,3,2,4,3,3,3,5,2,4,5,3.0,3.8
18–20,Male,Yes,Little Women,1 time,Within last 1 month,3,2,2,4,3,2,3,2,3,3,2.8,2.6
24 or above,Male,Yes,12 Years a Slave,1 time,1–6 months ago,5,4,4,5,3,2,3,3,5,3,4.2,3.2
24 or above,Female,Yes,Still Alice,More than 3 times,Within last 1 month,5,4,5,3,4,4,4,4,4,5,4.2,4.2
18–20,Female,Yes,Forrest Gump,More than 3 times,Within last 1 month,5,3,3,4,1,2,1,4,3,2,3.2,2.4
18–20,Male,Yes,The Dark Knight,2–3 times,1–6 months ago,5,5,5,5,5,3,4,5,4,4,5.0,4.0
24 or above,Male,Yes,Amour,2–3 times,More than 6 months ago,5,3,4,5,4,3,3,3,3,3,4.2,3.0
18–20,Prefer not to say,Yes,Inception,1 time,More than 6 months ago,2,2,1,2,1,1,1,1,1,1,1.6,1.0
18–20,Female,Yes,Love Simon,2–3 times,Within last 1 month,3,2,4,3,2,2,5,3,2,4,2.8,3.2
21–23,Female,Yes,Inception,1 time,More than 6 months ago,5,4,5,5,5,5,5,5,5,4,4.8,4.8
21–23,Female,Yes,The Father,1 time,More than 6 months ago,3,3,4,4,4,3,4,4,3,3,3.6,3.4
18–20,Male,Yes,Little Women,2–3 times,More than 6 months ago,2,1,1,2,1,2,1,1,1,1,1.4,1.2
21–23,Female,Yes,Your Name,2–3 times,More than 6 months ago,2,5,3,3,3,3,4,3,3,4,3.2,3.4
21–23,Female,Yes,Hachi A Dog's Tale,1 time,1–6 months ago,4,3,2,4,2,3,3,4,3,2,3.0,3.0
18–20,Female,Yes,All the Bright Places,More than 3 times,1–6 months ago,2,2,2,3,3,3,3,3,3,2,2.4,2.8
21–23,Male,Yes,Never Let Me Go,1 time,Within last 1 month,5,4,2,4,5,3,3,4,4,5,4.0,3.8
21–23,Male,Yes,The Social Network,2–3 times,1–6 months ago,2,3,3,3,3,3,2,3,2,2,2.8,2.4
24 or above,Female,Yes,Ghost,1 time,More than 6 months ago,4,3,4,3,3,4,3,5,4,4,3.4,4.0
Under 18,Female,Yes,Up,More than 3 times,1–6 months ago,3,3,3,4,4,3,3,5,2,3,3.4,3.2
24 or above,Male,Yes,Amour,1 time,More than 6 months ago,3,4,4,3,3,5,4,5,4,3,3.4,4.2
21–23,Male,Yes,Little Women,1 time,More than 6 months ago,3,2,3,4,1,2,3,3,4,3,2.6,3.0
21–23,Prefer not to say,Yes,Brokeback Mountain,1 time,More than 6 months ago,1,3,3,2,2,3,3,3,3,3,2.2,3.0
21–23,Male,Yes,La La Land,More than 3 times,Within last 1 month,3,2,4,2,2,2,4,2,1,3,2.6,2.4
18–20,Female,Yes,Wonder,1 time,More than 6 months ago,2,3,4,2,4,3,4,4,3,5,3.0,3.8
18–20,Female,Yes,Inception,2–3 times,More than 6 months ago,3,3,2,3,3,2,2,2,3,1,2.8,2.0
21–23,Female,Yes,The Farewell,2–3 times,1–6 months ago,5,5,5,5,5,4,3,3,3,5,5.0,3.6
21–23,Female,Yes,Moonlight,2–3 times,1–6 months ago,5,3,3,3,3,3,3,4,3,5,3.4,3.6
Under 18,Female,Yes,Aladdin,More than 3 times,1–6 months ago,5,4,4,4,4,4,5,3,5,4,4.2,4.2
18–20,Female,Yes,Eighth Grade,More than 3 times,Within last 1 month,4,4,4,4,3,4,3,4,2,5,3.8,3.6
24 or above,Male,Yes,The Zone of Interest,1 time,1–6 months ago,4,5,5,5,5,4,3,4,4,4,4.8,3.8
21–23,Male,Yes,Interstellar,1 time,Within last 1 month,4,5,5,3,4,3,3,5,4,4,4.2,3.8
24 or above,Female,Yes,The Reader,1 time,1–6 months ago,3,1,3,3,2,3,1,2,3,3,2.4,2.4
24 or above,Male,Yes,Ordinary People,1 time,1–6 months ago,4,3,3,3,3,3,5,4,4,3,3.2,3.8
21–23,Female,Yes,Brokeback Mountain,More than 3 times,Within last 1 month,4,4,4,4,3,2,3,4,3,4,3.8,3.2
21–23,Female,Yes,Call Me by Your Name,1 time,Within last 1 month,3,2,4,4,2,3,2,4,2,2,3.0,2.6
24 or above,Female,Yes,The Zone of Interest,1 time,More than 6 months ago,2,3,2,3,4,5,2,4,2,4,2.8,3.4
24 or above,Female,Yes,The King's Speech,1 time,Within last 1 month,4,2,5,5,4,4,4,4,4,4,4.0,4.0
Under 18,Female,Yes,The Princess and the Frog,More than 3 times,1–6 months ago,3,2,3,3,4,3,2,3,2,1,3.0,2.2
24 or above,Female,Yes,The Last Samurai,More than 3 times,More than 6 months ago,2,2,3,3,1,3,4,1,2,4,2.2,2.8
Under 18,Female,Yes,Moana,1 time,Within last 1 month,3,3,3,5,3,4,4,5,5,5,3.4,4.6
21–23,Female,Yes,Before Sunrise,More than 3 times,More than 6 months ago,2,3,3,3,3,3,4,3,2,2,2.8,2.8
21–23,Prefer not to say,Yes,Bohemian Rhapsody,2–3 times,More than 6 months ago,3,2,3,2,3,4,3,2,3,2,2.6,2.8
18–20,Male,Yes,Good Will Hunting,1 time,Within last 1 month,4,4,4,3,2,2,4,2,2,4,3.4,2.8
24 or above,Male,Yes,Midnight Cowboy,2–3 times,1–6 months ago,4,5,5,3,5,5,3,5,5,3,4.4,4.2
24 or above,Female,Yes,About Time,1 time,1–6 months ago,2,3,2,3,4,4,3,2,3,2,2.8,2.8
24 or above,Female,Yes,A Man Called Ove,1 time,Within last 1 month,4,2,5,3,4,3,4,3,4,3,3.6,3.4
24 or above,Female,Yes,Oppenheimer,1 time,1–6 months ago,5,4,5,5,4,4,5,5,5,5,4.6,4.8
21–23,Male,Yes,The Lives of Others,1 time,Within last 1 month,5,3,4,5,5,4,4,4,3,3,4.4,3.6
21–23,Male,Yes,Spirited Away,More than 3 times,1–6 months ago,5,5,5,5,5,5,5,4,4,3,5.0,4.2
24 or above,Female,Yes,Gladiator,More than 3 times,More than 6 months ago,3,4,3,4,5,3,3,2,3,1,3.8,2.4
21–23,Male,Yes,Interstellar,2–3 times,Within last 1 month,5,3,4,4,4,3,4,4,3,4,4.0,3.6
Under 18,Male,Yes,Beauty and the Beast,More than 3 times,1–6 months ago,5,4,4,5,2,4,4,4,3,4,4.0,3.8
21–23,Male,Yes,Hachi A Dog's Tale,1 time,1–6 months ago,5,4,4,3,3,4,5,4,3,5,3.8,4.2
21–23,Female,Yes,Arrival,2–3 times,1–6 months ago,4,3,3,4,5,5,4,5,4,5,3.8,4.6
24 or above,Male,Yes,The Shawshank Redemption,2–3 times,1–6 months ago,4,4,5,4,3,5,4,4,5,5,4.0,4.6
24 or above,Female,Yes,Wild Strawberries,1 time,1–6 months ago,4,4,2,2,2,4,4,2,1,4,2.8,3.0
18–20,Female,Yes,The Notebook,2–3 times,1–6 months ago,4,4,3,4,3,3,4,4,5,3,3.6,3.8
18–20,Female,Yes,Never Let Me Go,2–3 times,Within last 1 month,3,4,5,3,3,3,4,3,2,3,3.6,3.0
21–23,Male,Yes,The Theory of Everything,1 time,Within last 1 month,2,2,2,2,2,2,2,1,2,1,2.0,1.6
21–23,Female,Yes,Arrival,More than 3 times,Within last 1 month,2,2,2,2,4,2,3,1,2,2,2.4,2.0
Under 18,Female,Yes,Treasure Planet,More than 3 times,Within last 1 month,4,3,3,4,4,3,4,4,4,4,3.6,3.8
24 or above,Female,Yes,Amour,2–3 times,1–6 months ago,5,5,4,4,3,3,3,4,3,5,4.2,3.6
21–23,Prefer not to say,Yes,Little Women,More than 3 times,1–6 months ago,4,3,5,2,4,4,5,3,4,5,3.6,4.2
18–20,Male,Yes,The Fault in Our Stars,2–3 times,Within last 1 month,2,1,3,2,3,2,2,1,3,2,2.2,2.0
Under 18,Male,Yes,A Silent Voice,2–3 times,1–6 months ago,5,5,2,5,4,2,3,4,3,5,4.2,3.4
24 or above,Female,Yes,Casablanca,1 time,Within last 1 month,2,3,4,2,3,2,2,3,1,3,2.8,2.2
24 or above,Male,Yes,The Banshees of Inisherin,1 time,More than 6 months ago,3,2,2,4,3,3,4,2,2,2,2.8,2.6
21–23,Male,Yes,La La Land,1 time,1–6 months ago,4,5,4,5,4,5,4,5,5,5,4.4,4.8
21–23,Female,Yes,Amour,2–3 times,Within last 1 month,4,5,4,5,5,4,5,4,5,4,4.6,4.4
18–20,Male,Yes,Forrest Gump,2–3 times,1–6 months ago,4,4,3,5,5,4,5,5,5,5,4.2,4.8
21–23,Female,Yes,A Ghost Story,2–3 times,1–6 months ago,5,5,5,5,5,4,5,5,5,4,5.0,4.6
Under 18,Male,Yes,Encanto,More than 3 times,More than 6 months ago,4,3,4,2,3,2,2,4,2,3,3.2,2.6
Under 18,Male,Yes,Pinocchio,More than 3 times,1–6 months ago,5,4,4,4,5,3,3,4,5,4,4.4,3.8
21–23,Prefer not to say,Yes,Drive My Car,2–3 times,Within last 1 month,4,5,4,4,4,2,4,4,4,4,4.2,3.6
Under 18,Male,Yes,Lilo and Stitch,2–3 times,1–6 months ago,5,3,5,4,4,4,3,3,3,4,4.2,3.4
18–20,Prefer not to say,Yes,The Notebook,2–3 times,Within last 1 month,3,5,5,5,3,5,3,5,5,4,4.2,4.4
18–20,Female,Yes,The Fault in Our Stars,More than 3 times,More than 6 months ago,4,3,3,4,4,3,4,5,3,3,3.6,3.6
18–20,Female,Yes,Forrest Gump,More than 3 times,Within last 1 month,3,3,3,3,3,4,4,3,3,1,3.0,3.0
18–20,Male,Yes,Joker,More than 3 times,1–6 months ago,4,4,4,4,5,5,3,5,4,4,4.2,4.2
18–20,Female,Yes,Pride and Prejudice,2–3 times,Within last 1 month,3,3,3,4,2,4,5,4,4,4,3.0,4.2
21–23,Female,Yes,Dead Poets Society,More than 3 times,1–6 months ago,4,5,5,3,5,5,4,5,5,5,4.4,4.8
24 or above,Female,Yes,Life is Beautiful,More than 3 times,1–6 months ago,4,4,5,2,3,4,2,3,4,4,3.6,3.4
18–20,Female,Yes,Parasite,1 time,More than 6 months ago,3,4,3,4,4,2,3,2,2,3,3.6,2.4
21–23,Female,Yes,Interstellar,2–3 times,Within last 1 month,5,4,5,3,5,4,4,5,5,5,4.4,4.6
24 or above,Male,Yes,The King's Speech,1 time,Within last 1 month,4,4,5,5,5,4,4,5,4,4,4.6,4.2
Under 18,Female,Yes,Big Hero 6,More than 3 times,Within last 1 month,4,3,3,3,5,3,3,5,3,3,3.6,3.4
24 or above,Female,Yes,Love Story,1 time,More than 6 months ago,2,2,3,3,3,2,2,3,2,2,2.6,2.2
18–20,Female,Yes,The Fault in Our Stars,2–3 times,Within last 1 month,2,3,3,2,4,2,2,1,3,3,2.8,2.2
18–20,Female,Yes,The Dark Knight,More than 3 times,1–6 months ago,3,4,4,3,4,1,4,4,4,2,3.6,3.0
21–23,Male,Yes,Interstellar,2–3 times,1–6 months ago,5,4,5,3,5,4,4,4,4,4,4.4,4.0
18–20,Female,Yes,Portrait of a Lady on Fire,2–3 times,More than 6 months ago,4,4,2,5,4,4,4,4,5,4,3.8,4.2
18–20,Male,Yes,Crazy Rich Asians,2–3 times,1–6 months ago,4,3,4,4,2,3,2,3,4,5,3.4,3.4
18–20,Male,Yes,Arrival,More than 3 times,1–6 months ago,3,2,3,3,2,3,1,2,1,3,2.6,2.0
18–20,Male,Yes,Inception,1 time,Within last 1 month,5,5,5,5,4,4,3,3,5,5,4.8,4.0
24 or above,Female,Yes,The Way We Were,1 time,Within last 1 month,4,4,4,3,4,5,5,4,5,5,3.8,4.8
21–23,Female,Yes,The Pianist,More than 3 times,1–6 months ago,2,3,3,2,3,2,1,4,2,2,2.6,2.2
18–20,Male,Yes,If I Stay,1 time,Within last 1 month,5,5,4,2,3,2,3,3,2,2,3.8,2.4
18–20,Female,Yes,Forrest Gump,1 time,More than 6 months ago,5,5,5,5,5,5,4,4,4,4,5.0,4.2
Under 18,Male,Yes,Kung Fu Panda,More than 3 times,1–6 months ago,4,3,4,5,3,3,3,3,4,3,3.8,3.2
24 or above,Male,Yes,Beaches,1 time,Within last 1 month,3,2,4,2,3,3,4,3,4,2,2.8,3.2
24 or above,Male,Yes,Ghost,2–3 times,1–6 months ago,3,3,4,4,4,4,3,4,3,2,3.6,3.2
24 or above,Male,Yes,Forrest Gump,1 time,More than 6 months ago,2,3,4,3,4,3,4,3,4,4,3.2,3.6
21–23,Male,Yes,Spirited Away,1 time,1–6 months ago,2,3,3,2,1,1,3,2,3,3,2.2,2.4
21–23,Male,Yes,The Kite Runner,2–3 times,Within last 1 month,3,5,4,5,4,4,5,3,3,3,4.2,3.6
18–20,Prefer not to say,Yes,Call Me by Your Name,1 time,1–6 months ago,3,4,3,2,3,3,3,4,3,4,3.0,3.4
21–23,Prefer not to say,Yes,The Social Network,1 time,1–6 months ago,2,3,3,3,3,4,3,2,4,2,2.8,3.0
24 or above,Male,Yes,Scenes from a Marriage,1 time,1–6 months ago,3,3,2,3,1,3,2,4,3,3,2.4,3.0
21–23,Male,Yes,Marriage Story,1 time,1–6 months ago,1,2,1,1,2,1,3,2,4,2,1.4,2.4
24 or above,Male,Yes,Out of Africa,2–3 times,1–6 months ago,4,2,3,3,3,4,3,2,3,2,3.0,2.8
24 or above,Female,Yes,An Affair to Remember,2–3 times,1–6 months ago,3,4,4,4,3,2,3,4,2,3,3.6,2.8
18–20,Female,Yes,Pride and Prejudice,2–3 times,More than 6 months ago,4,2,2,4,3,3,2,2,4,3,3.0,2.8
21–23,Female,Yes,Brokeback Mountain,2–3 times,1–6 months ago,3,5,3,4,4,3,4,5,5,3,3.8,4.0
21–23,Female,Yes,Spirited Away,2–3 times,1–6 months ago,3,3,4,2,3,3,1,2,3,2,3.0,2.2
18–20,Female,Yes,Logan,2–3 times,1–6 months ago,4,4,4,3,4,3,3,3,4,5,3.8,3.6
21–23,Female,Yes,A Separation,2–3 times,Within last 1 month,4,2,1,2,3,3,1,2,1,3,2.4,2.0
24 or above,Female,Yes,The Reader,2–3 times,1–6 months ago,2,4,3,3,1,3,2,2,2,2,2.6,2.2
24 or above,Female,Yes,Capernaum,2–3 times,Within last 1 month,5,5,4,5,5,5,4,3,4,5,4.8,4.2
Under 18,Male,Yes,Finding Nemo,1 time,Within last 1 month,5,5,5,4,5,5,5,5,5,3,4.8,4.6
Under 18,Male,Yes,Matilda,2–3 times,1–6 months ago,5,5,5,5,5,4,3,4,5,4,5.0,4.0
18–20,Female,Yes,Normal People,1 time,Within last 1 month,5,5,5,5,5,5,5,4,5,5,5.0,4.8
21–23,Female,Yes,Pan's Labyrinth,2–3 times,Within last 1 month,4,5,5,3,5,5,2,4,4,3,4.4,3.6
18–20,Female,Yes,Whiplash,2–3 times,Within last 1 month,4,4,5,3,3,5,5,3,5,5,3.8,4.6
24 or above,Prefer not to say,Yes,The Elephant Man,1 time,1–6 months ago,4,5,3,4,3,1,3,4,4,4,3.8,3.2
24 or above,Female,Yes,Blue Valentine,1 time,Within last 1 month,2,2,2,2,3,1,1,2,3,3,2.2,2.0
21–23,Female,Yes,Her,2–3 times,Within last 1 month,4,5,2,4,3,1,4,2,4,4,3.6,3.0
24 or above,Prefer not to say,Yes,Pride and Prejudice,1 time,More than 6 months ago,1,3,1,4,3,3,3,1,2,3,2.4,2.4
24 or above,Male,Yes,Boys Don't Cry,1 time,1–6 months ago,2,2,3,3,2,3,4,2,3,4,2.4,3.2
18–20,Female,Yes,Good Will Hunting,2–3 times,Within last 1 month,3,3,3,4,5,4,5,3,2,4,3.6,3.6
18–20,Female,Yes,Never Let Me Go,1 time,1–6 months ago,3,4,3,5,5,4,4,3,4,3,4.0,3.6
21–23,Female,Yes,Eternal Sunshine of the Spotless Mind,2–3 times,1–6 months ago,4,5,5,4,3,3,4,4,4,3,4.2,3.6
21–23,Female,Yes,The Kite Runner,2–3 times,More than 6 months ago,5,5,4,5,5,5,5,5,4,5,4.8,4.8
18–20,Female,Yes,Logan,2–3 times,Within last 1 month,3,3,3,3,3,4,4,2,3,3,3.0,3.2
21–23,Male,Yes,Wild,2–3 times,Within last 1 month,4,4,3,3,4,3,4,3,3,3,3.6,3.2
24 or above,Male,Yes,An Affair to Remember,1 time,Within last 1 month,4,4,3,3,2,4,3,2,3,1,3.2,2.6
24 or above,Male,Yes,Belfast,1 time,More than 6 months ago,3,4,4,3,3,4,4,5,3,4,3.4,4.0
24 or above,Female,Yes,Wild Strawberries,1 time,Within last 1 month,4,2,4,4,2,3,4,3,4,4,3.2,3.6
21–23,Male,Yes,Brokeback Mountain,2–3 times,More than 6 months ago,5,5,4,5,5,5,3,4,4,5,4.8,4.2
18–20,Male,Yes,Your Name,2–3 times,Within last 1 month,4,2,3,3,3,4,4,5,4,5,3.0,4.4
21–23,Male,Yes,Good Will Hunting,2–3 times,Within last 1 month,4,3,3,3,4,3,2,2,3,2,3.4,2.4
24 or above,Prefer not to say,Yes,Oppenheimer,1 time,More than 6 months ago,1,2,2,2,3,2,1,3,2,2,2.0,2.0
Under 18,Male,Yes,Beauty and the Beast,More than 3 times,More than 6 months ago,5,5,5,4,5,4,4,4,4,4,4.8,4.0
18–20,Prefer not to say,Yes,Dead Poets Society,More than 3 times,More than 6 months ago,4,2,3,2,3,3,3,2,2,2,2.8,2.4
21–23,Male,Yes,The Imitation Game,1 time,More than 6 months ago,5,5,3,4,5,4,4,4,4,3,4.4,3.8
21–23,Female,Yes,The Father,1 time,More than 6 months ago,3,4,5,2,4,4,2,3,3,5,3.6,3.4
24 or above,Male,Yes,Out of Africa,1 time,1–6 months ago,2,2,3,2,1,3,4,3,2,2,2.0,2.8
Under 18,Female,Yes,Mirai,More than 3 times,Within last 1 month,1,2,1,2,2,1,2,2,1,1,1.6,1.4
24 or above,Female,Yes,Never Let Me Go,1 time,More than 6 months ago,4,4,4,4,4,5,3,3,4,5,4.0,4.0
24 or above,Male,Yes,Fried Green Tomatoes,1 time,More than 6 months ago,3,3,3,4,3,1,3,3,2,4,3.2,2.6
24 or above,Female,Yes,The Pianist,1 time,More than 6 months ago,3,4,2,3,4,3,2,3,4,3,3.2,3.0
21–23,Female,Yes,The Social Network,More than 3 times,More than 6 months ago,5,5,5,4,4,3,4,4,4,4,4.6,3.8
21–23,Female,Yes,The Social Network,1 time,More than 6 months ago,3,4,4,4,3,3,3,3,4,2,3.6,3.0
21–23,Male,Yes,The Lives of Others,2–3 times,1–6 months ago,4,3,2,3,4,3,2,3,2,3,3.2,2.6
24 or above,Female,Yes,The Zone of Interest,2–3 times,More than 6 months ago,1,3,3,1,3,2,2,3,4,2,2.2,2.6
24 or above,Female,Yes,A Little Life,2–3 times,Within last 1 month,4,4,4,4,3,3,4,4,4,3,3.8,3.6
21–23,Male,Yes,The Pianist,2–3 times,Within last 1 month,5,5,4,4,4,3,5,4,4,4,4.4,4.0
24 or above,Male,Yes,One Flew Over the Cuckoo's Nest,1 time,More than 6 months ago,4,1,4,4,5,3,3,4,2,4,3.6,3.2
24 or above,Female,Yes,Out of Africa,More than 3 times,1–6 months ago,2,3,4,2,3,3,2,2,3,3,2.8,2.6
21–23,Prefer not to say,Yes,Moonlight,More than 3 times,Within last 1 month,3,1,2,2,4,2,2,2,3,4,2.4,2.6
18–20,Female,Yes,To All the Boys I've Loved Before,2–3 times,1–6 months ago,4,4,3,5,5,4,4,3,4,5,4.2,4.0
21–23,Male,Yes,Moonlight,1 time,Within last 1 month,5,3,3,2,3,4,3,3,3,3,3.2,3.2
18–20,Female,Yes,Crazy Rich Asians,1 time,1–6 months ago,5,5,5,4,5,5,4,5,5,4,4.8,4.6
21–23,Male,Yes,Whiplash,More than 3 times,1–6 months ago,4,4,3,3,5,5,4,3,3,4,3.8,3.8
24 or above,Female,Yes,Never Let Me Go,1 time,Within last 1 month,3,3,3,4,4,4,4,3,4,3,3.4,3.6
24 or above,Male,Yes,The Banshees of Inisherin,More than 3 times,More than 6 months ago,3,3,4,3,3,3,2,3,3,3,3.2,2.8
24 or above,Female,Yes,The Zone of Interest,2–3 times,1–6 months ago,5,4,4,4,5,5,3,5,5,5,4.4,4.6
24 or above,Female,Yes,Love Story,1 time,Within last 1 month,4,3,4,3,2,4,3,2,4,4,3.2,3.4
24 or above,Prefer not to say,Yes,Blue Valentine,2–3 times,More than 6 months ago,5,4,4,4,4,4,4,5,4,4,4.2,4.2
Under 18,Female,Yes,Inside Out,More than 3 times,Within last 1 month,4,3,5,3,2,1,2,4,2,3,3.4,2.4
18–20,Male,Yes,Interstellar,More than 3 times,Within last 1 month,4,3,3,3,5,4,3,4,3,3,3.6,3.4
21–23,Female,Yes,Aftersun,2–3 times,1–6 months ago,5,4,4,4,4,4,4,5,3,5,4.2,4.2
24 or above,Male,Yes,Terms of Endearment,2–3 times,1–6 months ago,3,4,4,3,2,3,2,2,4,3,3.2,2.8
Under 18,Prefer not to say,Yes,Song of the Sea,2–3 times,Within last 1 month,5,5,5,4,5,4,3,3,3,4,4.8,3.4
24 or above,Male,Yes,Philadelphia,More than 3 times,1–6 months ago,5,5,3,3,5,3,4,3,3,3,4.2,3.2
24 or above,Female,Yes,The Pianist,1 time,1–6 months ago,2,5,5,3,5,3,4,3,5,3,4.0,3.6
18–20,Female,Yes,Normal People,1 time,1–6 months ago,4,4,3,4,5,3,4,3,2,2,4.0,2.8
24 or above,Male,Yes,Truly Madly Deeply,1 time,More than 6 months ago,3,3,4,3,2,2,5,4,2,4,3.0,3.4
21–23,Female,Yes,Spirited Away,2–3 times,Within last 1 month,4,5,4,4,2,3,3,1,3,4,3.8,2.8
Under 18,Female,Yes,Anastasia,More than 3 times,Within last 1 month,3,3,3,2,3,2,3,1,4,2,2.8,2.4
18–20,Prefer not to say,Yes,Portrait of a Lady on Fire,1 time,More than 6 months ago,4,5,4,3,2,3,5,5,2,5,3.6,4.0
21–23,Female,Yes,The Boy in the Striped Pyjamas,2–3 times,1–6 months ago,5,4,4,4,4,5,3,4,5,2,4.2,3.8
